author,text,bias,type,audience
Andy Barr (Representative from Kentucky),"A member of my staff is holding mobile office hours today in Lawrenceburg at the Anderson Cty Judge Exec Offc-137 S Main St, 10:30-11:30AM",neutral,information,constituency
Paul Tonko (Representative from New York),House unanimously passed Monday a bill I worked on w @RepBillJohnson to save taxpayers millions by revising EPA reg http://t.co/cSJEqhJdjM,neutral,support,national
Ileana Ros-Lehtinen (Representative from Florida),Congrats 2 the winners of @MiamiDadeCounty @FriendsLibrary teen photography contest #BlackHistoryMonth http://t.co/K2LQuvNJc4,neutral,personal,national
Bob Casey (Senator from Pennsylvania),.@iava We must do more to #CombatSuicide,neutral,support,national
Maxine Waters (Representative from California),Thank you! RT @RepGwenMoore: Happy birthday to my friend and our @FSCDems ranking member @MaxineWaters!!!,neutral,personal,national
Michelle Lujan Grisham (Representative from New Mexico),"Larry Webb w/City of Rio Rancho says conservation is big deal, but low-hanging fruit when it comes water alternatives. #NMWaterInnovation",neutral,information,constituency
Ileana Ros-Lehtinen (Representative from Florida),Glad @CharlieCrist has options since Nov will be tough. He can serve the people at @AmericanAir Admiral's Club too. http://t.co/oyjAbzJsL5,neutral,constituency,constituency
Kelly Ayotte (Senator from New Hampshire),Enjoyed touring DellÛªs facility in Nashua this morning http://t.co/D3crN2QBzs,neutral,personal,constituency
Chris Collins (Representative from New York),".@markpoloncarz Even I can hang out with Dems from time to time, but on this one we'll excuse the staff typo. http://t.co/uNdthRWZbh",neutral,support,national
Henry Cuellar (Representative from Texas),"Our economy could lose 40,000 #STEM grads if don't pass #CIR #CostOfInaction http://t.co/hdHsoKLmdP",neutral,support,national
Robert Hurt (Representative from Virginia),"Our staff will hold Local Office Hrs in Lunenburg on Fri, Dec 13 to meet w/constituents who need help w/fed agencies: http://t.co/9RWdYvxb0f",neutral,personal,constituency
Erik Paulsen (Representative from Minnesota),Proud to have joined @RepWalorski and pass a bill expanding military whistleblower protections http://t.co/y7NwKdfPdU #MN03,neutral,information,national
Scott Perry (Representative from Pennsylvania),Thanks to Mr. Kreider's 8th Grade Civics classes at Harrisburg Academy for the privilege of joining these students. http://t.co/KrTdW7AsY3,neutral,constituency,constituency
Tammy Baldwin (Senator from Wisconsin),"A delicious  #MadeInWi story  - ""Wyttenbachs take meat from family farm to family table"" http://t.co/kkKGmSArQa",neutral,constituency,constituency
John Thune (Senator from South Dakota),Enjoyed meeting w/ the @CloseUp_DC group from Brandon Valley today. http://t.co/GX3s70NoH0,neutral,personal,national
Darrell Issa (Representative from California),We need a strategic plan to stop the spread of #ISIS's hateful ideology and violence. #HJRes123 #ISIS,neutral,support,national
Renee Ellmers (Representative from North Carolina),ICYMI VIDEO: Witnesses Confirm Uncertainty of Definition of Medical Device: http://t.co/sCsp3usyjj #Obamacare,neutral,policy,national
Vicky Hartzler (Representative from Missouri),It's a frigid 25 degrees but feels like -2 degrees below zero in DC yet there are thousands of dedicated prolife heroes here. #whywemarch,neutral,personal,national
Cory Booker (Senator from New Jersey),@ArchbishopYoung God Bless you too!,neutral,personal,national
Mary Landrieu (Senator from Louisiana),"The #farmbill continues the strong, no-cost U.S. sugar policy that supports 27k jobs &amp; nearly $3.5B in economic activity a yr for #Louisiana",neutral,support,national
Bernard Sanders (Senator from Vermont),"The arc of the moral universe is long, but it bends towards justice. - Martin Luther King, Jr. http://t.co/f4OXixS6v6",neutral,personal,national
Cory Booker (Senator from New Jersey),My pleasure!!!  @deciminyan,neutral,personal,constituency
David Schweikert (Representative from Arizona),RT @kevinscholla: My interview w/@RepDavid Schweikert on @SarahNETRadio! Huge meeting coming up w/constituents! http://t.co/Pf2edk5kxG Û_,neutral,media,constituency
Todd Rokita (Representative from Indiana),"MT: @virginiafoxx: #FF #SkillsAct Cosponsors: @RepKenMarchant, @BuckMcKeon, @RepLukeMesser, @DrPhilRoe, @RepMattSalmon, @RepSteveStivers...""",neutral,information,national
Gerald Connolly (Representative from Virginia),Great night for Springfield residents with the pre-opening of the new Springfield Town Center. Congrats to Sup. Jeff McKay for his hard work,neutral,support,constituency
Ann Wagner (Representative from Missouri),So great to be with my son Stephen at the 2013 Senior PGA Championship at Bellerive Country Club! http://t.co/vv6TjOLuOL,neutral,personal,national
Gary Peters (Representative from Michigan),For months #petcoke piles have been uncontained &amp; now we are facing problems of dust and contaminated stormwater. http://t.co/p8jWiAEshk,neutral,information,national
Sherrod Brown (Senator from Ohio),Today we lost a great mind and soul. My condolences to the family and loved ones of Maya Angelou. She will be remembered and admired.,neutral,support,national
JosÌ© Serrano (Representative from New York),"Happy St.Joseph's Day to Joseph, Jose, Giuseppe, etc. Have a great day!! @SenatorSerrano @repjoecrowley @JoseADelgadoEND @jdbalart",neutral,support,national
Michael Burgess (Representative from Texas),The #HobbyLobby decision is a victory for First Amendment rights. Read my statement here: http://t.co/TrEA6d2C5y,neutral,policy,national
Shelley Capito (Representative from West Virginia),"Johnny Matheny of Red House showing me the latest @DARPA prosthetics, which will help injured servicemembers. http://t.co/Nw1aDBSbQy",neutral,support,national
Daniel Webster (Representative from Florida),Orlando reps w/ @CCAssociationDC &amp; ClearSky came to discuss the impact of competitive wireless services in Central FL http://t.co/jMMjaR0ec1,neutral,constituency,constituency
Lee Terry (Representative from Nebraska),"This isnÛªt the whole solution, but itÛªs a good firs step in getting our veterans the care they need and deserve.",neutral,policy,national
Michael Crapo (Senator from Idaho),Welcome to @SenateBanking @Sen_JoeManchin @elizabethforma @SenatorHeitkamp @TomCoburn &amp; @SenDeanHeller. Look fwd to working with all of you.,neutral,support,constituency
Tim Scott (Senator from South Carolina),@TimScottHR great name btw.,neutral,other,national
Mike Quigley (Representative from Illinois),"@pmason03 you're very welcome, proud to do it!",neutral,personal,national
Jeanne Shaheen (Senator from New Hampshire),Frank will be speaking in Washington today at the Smithsonian. Wishing him luck!,neutral,support,national
Mark Udall (Senator from Colorado),"ICYMI: Earlier today, I spoke on the Senate floor about remediating the effects of our recent #COwildfires. VIDEO: http://t.co/rJDL4Ehm",neutral,information,constituency
Linda Sanchez (Representative from California),"Honored to stand w/ #LASD Sheriff, @Rep_JaniceHahn, @RepRoybalAllard, &amp; @mridleythomas to stand up to #gunviolence. http://t.co/wMl24kyJAO",neutral,personal,national
Michael Burgess (Representative from Texas),Please join me tonight for the Haltom City #TownHall Meeting at 6 pm ET: http://t.co/1LcndAKKtV,neutral,media,constituency
Randy Neugebauer (Representative from Texas),MT @TexasTech was created by legislative action in 1923. Look back at a newspaper headline from that monumental day: http://t.co/YBmwJbC1aY,neutral,information,constituency
Dean Heller (Senator from Nevada),RT @MilitaryTimes: Lawmakers want to know more about VA's quick progress on old claims http://t.co/qhfl5dJrzv,neutral,policy,national
Brian Higgins (Representative from New York),"RT @TheBuffaloNews Check out 'Buffalo, beauty from above,' gallery of 150 aerial photos by @DerekGeePhoto http://t.co/aLSMEAGUqh",neutral,support,national
Renee Ellmers (Representative from North Carolina),More proof #Obamacare is #Bad4Jobs - schools &amp; local gov'ts are dropping full-time workers. http://t.co/TSv4npNENW #FairnessForAll,neutral,policy,national
Steny Hoyer (Representative from Maryland),"Wishing a happy birthday to a #MakeItInAmerica champion and my friend from Illinois, @RepLipinski.",neutral,personal,national
Frederica Wilson (Representative from Florida),"Watch my remarks on #HRes573, the bipartisan resolution condemning the Nigerian girlsÛª abduction. #BringBackOurGirls http://t.co/GD2RxYChFA",neutral,policy,national
Markwayne Mullin (Representative from Oklahoma),I was honored to be sworn in to the 113th Congress yesterday. I'm looking forward to serving the people of #OK2 http://t.co/hgHLWV9T,neutral,personal,constituency
Cedric Richmond (Representative from Louisiana),Today the House voted in favor of the National Flood Insurance Fund. This protects over 1300 #Isaac claim payments from being delayed too.,neutral,information,national
Gwen Moore (Representative from Wisconsin),"Today in 1870, Hiram Revels became the first African American to serve in the U.S. Senate #BHM",neutral,information,national
Michael Fitzpatrick (Representative from Pennsylvania),Families in Bucks and Montgomery County know there is no such thing as a free lunch.... http://t.co/K2vGNzAasX,neutral,constituency,constituency
Tom Latham (Representative from Iowa),Best wishes to native Iowan and former Drake University golf star @ZachJohnsonPGA this week at the Masters! http://t.co/2zXu5ssbc2,neutral,support,constituency
Justin Amash (Representative from Michigan),Conyers-Amash LIBERT-E Act will #StopGovtAbuse of our #4thAmendment rights. Is your Rep a cosponsor yet? http://t.co/u9jvgPAwL0,neutral,policy,national
Frank Pallone (Representative from New Jersey),Happy #Easter to all celebrating today! Wishing you &amp; your families a joyous holiday on this day of peace &amp; renewal.,neutral,personal,national
Mike Quigley (Representative from Illinois),"I applaud #POTUS for using legal authority to improve our broken immigration system, but only #Congress can provide #CIR #ImmigrationAction",neutral,support,national
John Lewis (Representative from Georgia),"Happy 100th Birthday, Rosa Parks! From the bottom of my heart to the precious memory of your soul, thank you for standing up by sitting down",neutral,support,national
Tim Griffin (Representative from Arkansas),Essay competition for #ar2 high school students: 1 winner will attend President's State of the Union address Jan 28: http://t.co/wKbi7grqcB,neutral,support,national
Tim Griffin (Representative from Arkansas),"Thanks to Stewart of #Searcy for becoming my 6,000th like on @Facebook! http://t.co/4Qql4kR2 #ar2",neutral,personal,national
Dave Joyce (Representative from Ohio),@Indians home opener today- what's everyone doing for the game?,neutral,personal,constituency
Lloyd Doggett (Representative from Texas),Stopped by @ksatnews in SA today to talk about the doubling of student loan rates &amp;  comprehensive immigration reform http://t.co/GXw2umXvUD,neutral,media,national
Tammy Baldwin (Senator from Wisconsin),Our #MadeInWI economy is always cooking up something good! Check out @MadisonCollege's new culinary training center. http://t.co/19lRCCwwpp,neutral,support,constituency
Jeffrey Duncan (Representative from South Carolina),Ridiculous RT @PeenyMcNeeny: @RepJeffDuncan Only traitors complain about taxes. #PJNET,neutral,attack,national
Mark Warner (Senator from Virginia),"With John Warner, @TimKaine for Shipyard keel laying of USS John Warner. Great honor for great Virginian! http://t.co/IJylCTRI3d",neutral,personal,national
Robert Pittenger (Representative from North Carolina),"RE Ed Snowden: European Ambassadors consensus:""We want privacy, but we must have U.S. intelligence."" MORE 
http://t.co/lgclFe1ikn",neutral,other,national
Dana Rohrabacher (Representative from California),@et_disclosure I got your message.,neutral,personal,national
Steve Pearce (Representative from New Mexico),"Last week, my office helped Mr. Chavez receive long-overdue medals for his service in the Gulf War. http://t.co/vqZB7z7zS0",neutral,personal,national
Marsha Blackburn (Representative from Tennessee),RT @StJudeGovOffice: @MarshaBlackburn thanks for all your support for Alyssa and the other patients at St Jude #fad13 #chgme http://t.co/gJÛ_,neutral,personal,national
Sean Duffy (Representative from Wisconsin),Thx 4 your ??s! @federalreserve Chair #Yellen's inaugural @FinancialCmte appearance  #MyView #DayInTheLife http://t.co/M1YodJ4QVX,neutral,support,constituency
John McCain (Senator from Arizona),Honored to meet father &amp; son veterans SSgt Gregory Juedes &amp; LCpl Alex Juedes - thank you for your service! http://t.co/1cMCDy58Ar,neutral,support,national
Richard Hanna (Representative from New York),"Tomorrow is Intl @womensday. From inventors to Olympians, Upstate has been home to many outstanding women! #NY22 http://t.co/VV0yo6F43g",neutral,personal,national
Mike Rogers (Representative from Michigan),Tune in to @wjrradio w/ @PaulWJR to hear my #Oscars2014 recap... J/K we will discuss #Ukraine and suspending participation in the G-8 Summit,neutral,media,national
Yvette Clarke (Representative from New York),I am proud to support the #CommunitySafetyAct. @nyclu @bradlander @JumaaneWilliams,neutral,support,national
Darrell Issa (Representative from California),#IRS bothers him RT @gretawire: Bill the cat...nothing bothers him http://t.co/fpq6ObQ33c,neutral,personal,national
Jared Polis (Representative from Colorado),Join me tomorrow for a LIVE @facebook Q&amp;A to talk about the issues on your minds. http://t.co/hAUoQI9SRU http://t.co/eweuIvXoJc,neutral,media,constituency
Jackie Speier (Representative from California),Stop Harming Our Kids #SHOK resolution urges states to end harmful and discredited sexual orientation change efforts http://t.co/W7ykl79BJS,neutral,policy,national
Richard Durbin (Senator from Illinois),Watch my speech on #MarketplaceFairnessAct here: http://t.co/CcwHx3cHWG,neutral,media,national
Robert Aderholt (Representative from Alabama),"Story of hope, faith + goodness in people ""@aldotcom: ""Give her courage."" Prayer from #DuckDynasty cast in Fairhope http://t.co/p1P14JaUnT""",neutral,personal,national
Chris Collins (Representative from New York),WATCH LIVE: @HouseScience hearing following up on concerns regarding the security of http://t.co/HcgmedJgag http://t.co/12htukCppc.,neutral,policy,national
Tim Walberg (Representative from Michigan),"""U.S. Archivist Tells Oversight Committee The IRS ÛÏDid Not Follow The LawÛ @BuzzFeed http://t.co/u7158Up1pP #pjnet",neutral,information,national
Colleen Hanabusa (Representative from Hawaii),Caucus meeting with President @BarackObama,neutral,personal,national
Ted Cruz (Senator from Texas),"Visited with Meriam Ibrahim yesterday--in her darkest days in prison in Sudan, her Christian faith never faltered: http://t.co/IIalTIw72M",neutral,personal,national
JosÌ© Serrano (Representative from New York),Today at 10:30 ribbon cutting ceremony at @soundviewpark's new track and field facility. Glad to have played a part with @repjoecrowley.,neutral,information,national
Christopher Coons (Senator from Delaware),"RT @SenCoonsOffice: On Tuesday afternoon, Senator Coons sat down with Bill Gates to talk about global health &amp; college access http://t.Û_",neutral,policy,national
John Delaney (Representative from Maryland),@KingSlayer_RPDC @LibertyCrabs thanks for the feedback.,neutral,personal,constituency
Tammy Baldwin (Senator from Wisconsin),Maxwell &amp; Jacek of @UWMadison of @USStudents visited to promote affordable higher education &amp; a #FairShot for all. http://t.co/LA1fq7h68g,neutral,policy,national
Trey Gowdy (Representative from South Carolina),Attention students in South Carolina: Congressional Art Competition Deadline is approaching @GoUpstate http://t.co/kC3Lgpo62X,neutral,constituency,constituency
Ileana Ros-Lehtinen (Representative from Florida),Miss me on @wsvn last night w @blakeburman? Watch my comments on the re-opening of the government here. http://t.co/Rikqfm0MFf,neutral,media,national
Tim Walz (Representative from Minnesota),"So very sad to hear about the passing of Jim Ragsdale. He was a true professional &amp; a kind soul.  Jim, you will be missed greatly.",neutral,personal,national
Joe Courtney (Representative from Connecticut),"Let's go, Huskies! #UConn",neutral,personal,national
Yvette Clarke (Representative from New York),Happy National Voter Registration Day! #CelebrateNVRD by getting registered RIGHT NOW: http://t.co/Q03CAubPDd,neutral,personal,national
Todd Rokita (Representative from Indiana),"Live on @DennisDMZ today at 12:45p ET. Dennis out today, @ChristianDMZ guest hosts. Listen live: http://t.co/koyYMOD9Ky",neutral,information,national
Steven Palazzo (Representative from Mississippi),MT @goulaglenn Looking forward to hearing @congpalazzo speak at the Ingalls Shipbuilding Supplier conference @HIIndustries,neutral,information,national
Steven Chabot (Representative from Ohio),Thanks to @cincybuilders for hosting me today to discuss the housing market and growing the economy. #4jobs http://t.co/4hieTwF5Us,neutral,personal,constituency
Robert Pittenger (Representative from North Carolina),"The FAA explained they had not been consulted on the airport commission legislation. MORE  
http://t.co/hRdTPdPocQ",neutral,policy,national
Tom Cotton (Representative from Arkansas),"RT @visitthecapitol: Today we remember Dr. Martin Luther King, Jr. on the anniversary of his passing, April 4, 1968. #MLK http://t.co/v4zFCÛ_",neutral,personal,national
Brian Higgins (Representative from New York),Hear my recent discussion on #Syria with IrelandÛªs @rtenews (begins at 5:45):   http://t.co/vKeyErEUj4,neutral,personal,national
Bobby Rush (Representative from Illinois),"Rush and Barton Introduce H.R. 4400, the DATA Act of 2014: WASHINGTONÛÓ With the recent series of data breaches... http://t.co/fO5LBbelCA",neutral,policy,national
Carl Levin (Senator from Michigan),"Carl's statement in support of  overseas contingency funds request, including $ to train, equip Syria opposition: http://t.co/Q3w8zOITAn",neutral,policy,national
Tim Griffin (Representative from Arkansas),Awesome #ar2 RT @washingtonpost: A powerful photo of Frederick Douglass's great-great-great-great-grandson http://t.co/iaZv2OpXz3,neutral,personal,national
Brett Guthrie (Representative from Kentucky),"Thanks, @LorettaSanchez, for supporting HR 4351, the AlzheimerÛªs Accountability Act. Together we're making it a top priority! #ENDALZ",neutral,support,national
Jack Reed (Senator from Rhode Island),Joining @mitchelreports on MSNBC at 1:05 pm today to discuss national security &amp; #Hagel SecDef nomination.,neutral,personal,national
Keith Ellison (Representative from Minnesota),"RT @JackieTortora: RT @keithellison: ItÛªs time to #Standup2Shutdown &amp; put furloughed workers back to work! Join tomorrow, outside the US CaÛ_",neutral,mobilization,national
Randy Neugebauer (Representative from Texas),Thanks for the #FollowFriday #FF: @FinancialCmte @RepGarrett @RepShelley @RepJohnCampbell @PatrickMcHenry,neutral,personal,national
Benjamin Cardin (Senator from Maryland),"Had to share w/ @md_seafood. We've got a chance to prove #MDTrueBlue #crabcakes top any other regional delicacy
http://t.co/0PY39MygQs",neutral,policy,national
Linda Sanchez (Representative from California),@CALinnovates Thank you for the time and the insight!,neutral,personal,national
John McCain (Senator from Arizona),"Must-read @WSJ: ""U.N. Insecurity Council - Saudi Arabia declines honor of joining a body that abets mass murder"" http://t.co/kYDTe1Get1",neutral,information,national
Renee Ellmers (Representative from North Carolina),#ShowSomeLove on #ValentinesDay to our NC GOP congressional delegation with a #FF @HowardCoble @PatrickMcHenry @RepWalterJones @virginiafoxx,neutral,policy,national
Chris Gibson (Representative from New York),Really enjoyed touring @Tuthilltown Distillery today in Gardiner. Very impressed w Ralph &amp; his team. Great job! #NY19 http://t.co/skBZl643GP,neutral,support,national
Patrick Murphy (Representative from Florida),We need to work together to find real solutions to @FixtheDebt before @TheCanKicksBack http://t.co/5HXcsgTn79,neutral,policy,national
Judy Chu (Representative from California),Thank you to all who served the US in uniform. Your courage inspires us and your sacrifices have ensured our freedoms. Happy #VeteransDay,neutral,support,national
Daniel Coats (Senator from Indiana),.@kpcnews Coats listens to local leaders http://t.co/r9O9UcKNo8,neutral,support,national
Jeff Flake (Senator from Arizona),"I hate to miss any vote, let alone important votes like we had today. But I was where I needed to be. http://t.co/CWThBPElwb",neutral,personal,constituency
Ted Poe (Representative from Texas),@NewsmaxTV @TheForum_NMX Thanks for having me on this morning to discuss the #ISIS threat.,neutral,personal,national
Bruce Braley (Representative from Iowa),Taking photos of @BillClinton &amp; his fans at Stomping Grounds Cafe in Ames. @TeamBraley @iowademocrats #IAGOTV #3days http://t.co/PL1qffkeS3,neutral,personal,national
John Larson (Representative from Connecticut),Check out my #Grants E-Newsletter for info on federal funding opportunities &amp; updates on awards in #CT's First: http://t.co/565SsQuvL8,neutral,personal,national
Ileana Ros-Lehtinen (Representative from Florida),"W/students frm my alma mater @SouthwestEagles, @westmiamimiddle+#Southside Elementary 4 @MDCPS Hall of Fame Induction http://t.co/cLO0KiHIxx",neutral,other,national
Michael Fitzpatrick (Representative from Pennsylvania),"Today, I held an Autism round table at Peaceful Living in New Britain. Great dialog between local groups in the... http://t.co/qpFmEVzMm3",neutral,support,national
Bruce Braley (Representative from Iowa),Part of the great turnout to meet @Carole_King yesterday at our Des Moines canvass kickoff. Thanks Cece Ibson! http://t.co/kq2n79nkHw,neutral,constituency,constituency
John Garamendi (Representative from California),"RT @RayLaHood: New locomotive built by Americans; @USDOTFRA, any better way to celebrate Natl #Transportation Week? http://t.co/gsJ17ToMR2",neutral,information,national
Michael Fitzpatrick (Representative from Pennsylvania),My opening remarks at today's @FinancialCmte hearing on @CFPB's consumer data collection: http://t.co/YLUrIrrOqj,neutral,personal,national
Tim Murphy (Representative from Pennsylvania),"Via @bctimes, #shalegas agreement btwn @CONSOL_Energy &amp; @PITairport will lead to ec dev, $500M in new revenue. READ: http://t.co/WCMQ1pDYlP",neutral,information,national
Nita Lowey (Representative from New York),RT @JaneLernerNY: NY Medical College gets NIH grant for sleep disorders - http://t.co/yRxeILPRnd,neutral,information,national
Dina Titus (Representative from Nevada),Always enjoy mtg w/ #leaders of #LVbiz community @lvchamber #EggsandIssues #transportation #uav #I11 #biz #jobs http://t.co/NlQJ7OQ2w0,neutral,personal,constituency
Darrell Issa (Representative from California),.@RepDuckworth blasts witness for claiming veterans disability to gain gov't contracts http://t.co/D4NeAA8poa #IRS,neutral,other,national
Cory Booker (Senator from New Jersey),"""It's nice to be important but it is more important to be nice.""",neutral,personal,national
Ami Bera (Representative from California),"Great news! One of our largest employers, @BlueDiamond, is reporting record revenue growth  Õ http://t.co/wAeql7dXcT  #CA07 #ICYMI",neutral,information,constituency
Kevin Yoder (Representative from Kansas),I hope you can join me on Thursday for Coffee with Constituents. KCK South Branch - Argentine Library. 3104 Strong Ave in KCK 3:30-4:30pm,neutral,mobilization,constituency
Jeffrey Duncan (Representative from South Carolina),"Getting my ""Bubba Watson"" on this AM @WaffleHouse w/Cheese n Eggs, bacon, coffee &amp; hashbrowns! http://t.co/fTsQkHNyJE",neutral,support,national
Richard Burr (Senator from North Carolina),I want to thank our law enforcement for their hard work &amp; hope with this development we will have more information about why this happened.,neutral,support,national
